Parking_lot,yolo_car_count,date_time
StevensCreek,0.0,2020-06-03 00:22:00
StevensCreek,0.0,2020-06-03 00:33:00
StevensCreek,0.0,2020-06-03 00:44:00
StevensCreek,0.0,2020-06-03 00:54:00
StevensCreek,0.0,2020-06-03 01:05:00
StevensCreek,0.0,2020-06-03 01:16:00
StevensCreek,0.0,2020-06-03 01:27:00
StevensCreek,0.0,2020-06-03 01:37:00
StevensCreek,0.0,2020-06-03 01:49:00
StevensCreek,0.0,2020-06-03 02:12:00
StevensCreek,0.0,2020-06-03 02:22:00
StevensCreek,0.0,2020-06-03 02:33:00
StevensCreek,0.0,2020-06-03 02:44:00
StevensCreek,0.0,2020-06-03 02:55:00
StevensCreek,0.0,2020-06-03 03:06:00
StevensCreek,0.0,2020-06-03 03:17:00
StevensCreek,0.0,2020-06-03 03:29:00
StevensCreek,0.0,2020-06-03 03:40:00
StevensCreek,0.0,2020-06-03 03:51:00
StevensCreek,0.0,2020-06-03 04:02:00
StevensCreek,0.0,2020-06-03 04:12:00
StevensCreek,0.0,2020-06-03 04:23:00
StevensCreek,0.0,2020-06-03 04:35:00
StevensCreek,0.0,2020-06-03 04:45:00
StevensCreek,0.0,2020-06-03 04:58:00
StevensCreek,0.0,2020-06-03 05:09:00
StevensCreek,0.0,2020-06-03 05:20:00
StevensCreek,0.0,2020-06-03 05:31:00
StevensCreek,0.0,2020-06-03 05:42:00
StevensCreek,0.0,2020-06-03 05:53:00
StevensCreek,0.0,2020-06-03 06:03:00
StevensCreek,0.0,2020-06-03 06:14:00
StevensCreek,0.0,2020-06-03 06:25:00
StevensCreek,1.0,2020-06-03 06:36:00
StevensCreek,2.0,2020-06-03 06:47:00
StevensCreek,3.0,2020-06-03 06:57:00
StevensCreek,2.0,2020-06-03 07:08:00
StevensCreek,4.0,2020-06-03 07:19:00
StevensCreek,3.0,2020-06-03 07:30:00
StevensCreek,2.0,2020-06-03 07:41:00
StevensCreek,2.0,2020-06-03 07:52:00
StevensCreek,2.0,2020-06-03 08:03:00
StevensCreek,2.0,2020-06-03 08:14:00
StevensCreek,3.0,2020-06-03 08:25:00
StevensCreek,3.0,2020-06-03 08:36:00
StevensCreek,2.0,2020-06-03 08:57:00
StevensCreek,2.0,2020-06-03 09:07:00
StevensCreek,3.0,2020-06-03 09:17:00
StevensCreek,0.0,2020-06-03 09:27:00
StevensCreek,0.0,2020-06-03 09:37:00
StevensCreek,0.0,2020-06-03 09:47:00
StevensCreek,0.0,2020-06-03 09:57:00
StevensCreek,0.0,2020-06-03 10:07:00
StevensCreek,0.0,2020-06-03 10:17:00
StevensCreek,0.0,2020-06-03 10:27:00
StevensCreek,0.0,2020-06-03 10:37:00
StevensCreek,0.0,2020-06-03 10:47:00
StevensCreek,0.0,2020-06-03 10:57:00
StevensCreek,0.0,2020-06-03 11:07:00
StevensCreek,1.0,2020-06-03 11:17:00
StevensCreek,3.0,2020-06-03 11:27:00
StevensCreek,2.0,2020-06-03 11:37:00
StevensCreek,2.0,2020-06-03 11:48:00
StevensCreek,2.0,2020-06-03 11:58:00
StevensCreek,3.0,2020-06-03 12:08:00
StevensCreek,2.0,2020-06-03 12:18:00
StevensCreek,1.0,2020-06-03 12:29:00
StevensCreek,3.0,2020-06-03 12:39:00
StevensCreek,3.0,2020-06-03 12:49:00
StevensCreek,2.0,2020-06-03 12:59:00
StevensCreek,2.0,2020-06-03 13:09:00
StevensCreek,2.0,2020-06-03 13:19:00
StevensCreek,2.0,2020-06-03 13:29:00
StevensCreek,2.0,2020-06-03 13:39:00
StevensCreek,2.0,2020-06-03 13:49:00
StevensCreek,2.0,2020-06-03 13:59:00
StevensCreek,2.0,2020-06-03 14:09:00
StevensCreek,2.0,2020-06-03 14:19:00
StevensCreek,2.0,2020-06-03 14:29:00
StevensCreek,1.0,2020-06-03 14:40:00
StevensCreek,1.0,2020-06-03 14:50:00
StevensCreek,1.0,2020-06-03 15:00:00
StevensCreek,1.0,2020-06-03 15:10:00
StevensCreek,1.0,2020-06-03 15:20:00
StevensCreek,1.0,2020-06-03 15:30:00
StevensCreek,2.0,2020-06-03 15:40:00
StevensCreek,1.0,2020-06-03 15:50:00
StevensCreek,1.0,2020-06-03 16:00:00
StevensCreek,1.0,2020-06-03 16:10:00
StevensCreek,1.0,2020-06-03 16:20:00
StevensCreek,1.0,2020-06-03 16:30:00
StevensCreek,1.0,2020-06-03 16:40:00
StevensCreek,1.0,2020-06-03 16:50:00
StevensCreek,1.0,2020-06-03 17:00:00
StevensCreek,1.0,2020-06-03 17:10:00
StevensCreek,1.0,2020-06-03 17:20:00
