Parking_lot,file_name,month,day,year,hour,minute,yolo_car_count,image,car_count
AntoineW,03-06-2020-17-10.jpeg,6,3,2020,17,10,6,03-06-2020-17-10.jpeg,7
AntoineW,03-06-2020-17-20.jpeg,6,3,2020,17,20,6,03-06-2020-17-20.jpeg,7
Glenrose,02-06-2020-22-00.jpeg,6,2,2020,22,0,0,02-06-2020-22-00.jpeg,0
Glenrose,02-06-2020-22-10.jpeg,6,2,2020,22,10,0,02-06-2020-22-10.jpeg,0
Glenrose,02-06-2020-22-20.jpeg,6,2,2020,22,20,0,02-06-2020-22-20.jpeg,0
Glenrose,02-06-2020-22-31.jpeg,6,2,2020,22,31,0,02-06-2020-22-31.jpeg,0
Glenrose,02-06-2020-22-41.jpeg,6,2,2020,22,41,0,02-06-2020-22-41.jpeg,0
Glenrose,02-06-2020-22-53.jpeg,6,2,2020,22,53,0,02-06-2020-22-53.jpeg,0
Glenrose,02-06-2020-23-04.jpeg,6,2,2020,23,4,0,02-06-2020-23-04.jpeg,0
Glenrose,02-06-2020-23-15.jpeg,6,2,2020,23,15,0,02-06-2020-23-15.jpeg,0
Glenrose,02-06-2020-23-26.jpeg,6,2,2020,23,26,0,02-06-2020-23-26.jpeg,0
Glenrose,02-06-2020-23-37.jpeg,6,2,2020,23,37,0,02-06-2020-23-37.jpeg,0
Glenrose,02-06-2020-23-49.jpeg,6,2,2020,23,49,1,02-06-2020-23-49.jpeg,1
Glenrose,03-06-2020-00-00.jpeg,6,3,2020,0,0,2,03-06-2020-00-00.jpeg,1
Glenrose,03-06-2020-00-11.jpeg,6,3,2020,0,11,1,03-06-2020-00-11.jpeg,1
Glenrose,03-06-2020-00-22.jpeg,6,3,2020,0,22,0,03-06-2020-00-22.jpeg,0
Glenrose,03-06-2020-00-33.jpeg,6,3,2020,0,33,0,03-06-2020-00-33.jpeg,0
Glenrose,03-06-2020-00-44.jpeg,6,3,2020,0,44,0,03-06-2020-00-44.jpeg,0
Glenrose,03-06-2020-00-54.jpeg,6,3,2020,0,54,0,03-06-2020-00-54.jpeg,0
Glenrose,03-06-2020-01-05.jpeg,6,3,2020,1,5,0,03-06-2020-01-05.jpeg,0
Glenrose,03-06-2020-01-16.jpeg,6,3,2020,1,16,0,03-06-2020-01-16.jpeg,0
Glenrose,03-06-2020-01-27.jpeg,6,3,2020,1,27,0,03-06-2020-01-27.jpeg,0
Glenrose,03-06-2020-01-37.jpeg,6,3,2020,1,37,0,03-06-2020-01-37.jpeg,0
Glenrose,03-06-2020-01-49.jpeg,6,3,2020,1,49,0,03-06-2020-01-49.jpeg,0
Glenrose,03-06-2020-02-01.jpeg,6,3,2020,2,1,0,03-06-2020-02-01.jpeg,0
Glenrose,03-06-2020-02-12.jpeg,6,3,2020,2,12,0,03-06-2020-02-12.jpeg,0
Glenrose,03-06-2020-02-22.jpeg,6,3,2020,2,22,0,03-06-2020-02-22.jpeg,0
Glenrose,03-06-2020-02-33.jpeg,6,3,2020,2,33,0,03-06-2020-02-33.jpeg,0
Glenrose,03-06-2020-02-44.jpeg,6,3,2020,2,44,0,03-06-2020-02-44.jpeg,0
Glenrose,03-06-2020-02-55.jpeg,6,3,2020,2,55,0,03-06-2020-02-55.jpeg,0
Glenrose,03-06-2020-03-06.jpeg,6,3,2020,3,6,0,03-06-2020-03-06.jpeg,0
Glenrose,03-06-2020-03-17.jpeg,6,3,2020,3,17,0,03-06-2020-03-17.jpeg,0
Glenrose,03-06-2020-03-29.jpeg,6,3,2020,3,29,0,03-06-2020-03-29.jpeg,0
Glenrose,03-06-2020-03-40.jpeg,6,3,2020,3,40,0,03-06-2020-03-40.jpeg,0
Glenrose,03-06-2020-03-51.jpeg,6,3,2020,3,51,0,03-06-2020-03-51.jpeg,0
Glenrose,03-06-2020-04-02.jpeg,6,3,2020,4,2,0,03-06-2020-04-02.jpeg,0
Glenrose,03-06-2020-04-12.jpeg,6,3,2020,4,12,0,03-06-2020-04-12.jpeg,0
Glenrose,03-06-2020-04-23.jpeg,6,3,2020,4,23,1,03-06-2020-04-23.jpeg,0
Glenrose,03-06-2020-04-35.jpeg,6,3,2020,4,35,0,03-06-2020-04-35.jpeg,0
Glenrose,03-06-2020-04-45.jpeg,6,3,2020,4,45,0,03-06-2020-04-45.jpeg,0
Glenrose,03-06-2020-04-58.jpeg,6,3,2020,4,58,0,03-06-2020-04-58.jpeg,0
Glenrose,03-06-2020-05-09.jpeg,6,3,2020,5,9,0,03-06-2020-05-09.jpeg,0
