Parking_lot,file_name,month,day,year,hour,minute,yolo_car_count
Glenrose,03-06-2020-00-44.jpeg,6,3,2020,0,44,0
Glenrose,03-06-2020-00-54.jpeg,6,3,2020,0,54,0
Glenrose,03-06-2020-01-05.jpeg,6,3,2020,1,5,0
Glenrose,03-06-2020-01-16.jpeg,6,3,2020,1,16,0
Glenrose,03-06-2020-01-27.jpeg,6,3,2020,1,27,0
Glenrose,03-06-2020-01-37.jpeg,6,3,2020,1,37,0
Glenrose,03-06-2020-01-49.jpeg,6,3,2020,1,49,0
Glenrose,03-06-2020-02-01.jpeg,6,3,2020,2,1,0
Glenrose,03-06-2020-02-12.jpeg,6,3,2020,2,12,0
Glenrose,03-06-2020-02-22.jpeg,6,3,2020,2,22,0
Glenrose,03-06-2020-02-33.jpeg,6,3,2020,2,33,0
Glenrose,03-06-2020-02-44.jpeg,6,3,2020,2,44,0
Glenrose,03-06-2020-02-55.jpeg,6,3,2020,2,55,0
Glenrose,03-06-2020-03-06.jpeg,6,3,2020,3,6,0
Glenrose,03-06-2020-03-17.jpeg,6,3,2020,3,17,0
Glenrose,03-06-2020-03-29.jpeg,6,3,2020,3,29,0
Glenrose,03-06-2020-03-40.jpeg,6,3,2020,3,40,0
Glenrose,03-06-2020-03-51.jpeg,6,3,2020,3,51,0
Glenrose,03-06-2020-04-02.jpeg,6,3,2020,4,2,0
Glenrose,03-06-2020-04-12.jpeg,6,3,2020,4,12,0
Glenrose,03-06-2020-04-23.jpeg,6,3,2020,4,23,1
Glenrose,03-06-2020-04-35.jpeg,6,3,2020,4,35,0
Glenrose,03-06-2020-04-45.jpeg,6,3,2020,4,45,0
Glenrose,03-06-2020-04-58.jpeg,6,3,2020,4,58,0
Glenrose,03-06-2020-05-09.jpeg,6,3,2020,5,9,0
Glenrose,03-06-2020-05-20.jpeg,6,3,2020,5,20,0
Glenrose,03-06-2020-05-31.jpeg,6,3,2020,5,31,0
Glenrose,03-06-2020-05-42.jpeg,6,3,2020,5,42,0
Glenrose,03-06-2020-05-53.jpeg,6,3,2020,5,53,1
Glenrose,03-06-2020-06-03.jpeg,6,3,2020,6,3,1
Glenrose,03-06-2020-06-14.jpeg,6,3,2020,6,14,1
Glenrose,03-06-2020-06-25.jpeg,6,3,2020,6,25,1
Glenrose,03-06-2020-06-36.jpeg,6,3,2020,6,36,1
Glenrose,03-06-2020-06-47.jpeg,6,3,2020,6,47,1
Glenrose,03-06-2020-06-57.jpeg,6,3,2020,6,57,0
Glenrose,03-06-2020-07-08.jpeg,6,3,2020,7,8,2
Glenrose,03-06-2020-07-19.jpeg,6,3,2020,7,19,3
Glenrose,03-06-2020-07-30.jpeg,6,3,2020,7,30,4
Glenrose,03-06-2020-07-41.jpeg,6,3,2020,7,41,2
Glenrose,03-06-2020-07-52.jpeg,6,3,2020,7,52,2
Glenrose,03-06-2020-08-03.jpeg,6,3,2020,8,3,1
Glenrose,03-06-2020-08-14.jpeg,6,3,2020,8,14,2
Glenrose,03-06-2020-08-25.jpeg,6,3,2020,8,25,2
Glenrose,03-06-2020-08-36.jpeg,6,3,2020,8,36,3
Glenrose,03-06-2020-08-57.jpeg,6,3,2020,8,57,3
Glenrose,03-06-2020-09-07.jpeg,6,3,2020,9,7,2
Glenrose,03-06-2020-09-17.jpeg,6,3,2020,9,17,4
Glenrose,03-06-2020-09-27.jpeg,6,3,2020,9,27,3
Glenrose,03-06-2020-09-37.jpeg,6,3,2020,9,37,1
Glenrose,03-06-2020-09-47.jpeg,6,3,2020,9,47,1
Glenrose,03-06-2020-09-57.jpeg,6,3,2020,9,57,0
Glenrose,03-06-2020-10-07.jpeg,6,3,2020,10,7,1
Glenrose,03-06-2020-10-17.jpeg,6,3,2020,10,17,1
Glenrose,03-06-2020-10-27.jpeg,6,3,2020,10,27,4
Glenrose,03-06-2020-10-37.jpeg,6,3,2020,10,37,3
Glenrose,03-06-2020-10-47.jpeg,6,3,2020,10,47,4
Glenrose,03-06-2020-10-57.jpeg,6,3,2020,10,57,4
Glenrose,03-06-2020-11-07.jpeg,6,3,2020,11,7,3
Glenrose,03-06-2020-11-17.jpeg,6,3,2020,11,17,3
Glenrose,03-06-2020-11-27.jpeg,6,3,2020,11,27,4
Glenrose,03-06-2020-11-37.jpeg,6,3,2020,11,37,5
Glenrose,03-06-2020-11-48.jpeg,6,3,2020,11,48,2
Glenrose,03-06-2020-11-58.jpeg,6,3,2020,11,58,3
Glenrose,03-06-2020-12-08.jpeg,6,3,2020,12,8,4
Glenrose,03-06-2020-12-18.jpeg,6,3,2020,12,18,4
Glenrose,03-06-2020-12-29.jpeg,6,3,2020,12,29,4
Glenrose,03-06-2020-12-39.jpeg,6,3,2020,12,39,4
Glenrose,03-06-2020-12-49.jpeg,6,3,2020,12,49,3
Glenrose,03-06-2020-12-59.jpeg,6,3,2020,12,59,3
